Full name accepted	Abbreviation with periods accepted	Abbreviation without periods accepted
A Trends Guide	Trends Guide	Trends Guide
AAOHN Journal	AAOHN J.	AAOHN J
Aarsberet. Nor. Fisk.	Aarsberet. Nor. Fisk.	Aarsberet Nor Fisk
Aarsberetning. NORCONS-RV	Aarsberet. NORCONS-RV	Aarsberet NORCONS-RV
Aarsberetning. Norsk Sjoefartsmuseum	Aarsberet. Norsk Sjoefartsmus.	Aarsberet Norsk Sjoefartsmus
Aarsberetning. Sildolje- og Sildemelindustriens Forskningsinstitutt	Aarsberet. SSF	Aarsberet SSF
Aarsberetning. Statens Kartverk	Aarsberet. Statens Kartverk	Aarsberet Statens Kartverk
Aarsmelding. Eksportutvalget for Fisk	Aarsmelding Eksport. Fisk	Aarsmelding Eksport Fisk
Aarsmelding. Fiskeriforskning	Aarsmelding Fiskeriforsk.	Aarsmelding Fiskeriforsk
Aarsmelding. Havforskingsinstituttet	Aarsmelding. Havforskingsinst.	Aarsmelding Havforskingsinst
Aarsmelding. Nordlands Forskning	Aarsmelding Nordlands Forsk.	Aarsmelding Nordlands Forsk
Aarsmelding. Norges Landbrukshoegskole	Aarsmelding Norges Landbrukshoegsk.	Aarsmelding Norges Landbrukshoegsk
Aarsmelding. Norges Sildesalgslag	Aarsmelding Norges Sildesalgslag	Aarsmelding Norges Sildesalgslag
Aarsrapport. Fiskeriforskning	Aarsrapp. Fiskeriforsk.	Aarsrapp Fiskeriforsk
Abhandlungen. Akademie der Wissenschaften und der Literatur, Mainz. Mathematisch- Naturwissenschaftliche Klasse	Abh. Akad. Wiss. Lit. Mainz Math.-Naturwiss. Kl.	Abh Akad Wiss Lit Mainz Math-Naturwiss Kl
Abhandlungen. Naturwissenschaftlicher Verein zu Bremen	Abh. Naturwiss. Ver. Bremen	Abh Naturwiss Ver Bremen
ABS Acta biologica slovenica	ABS Acta Biol. Slov.	ABS Acta Biol Slov
Abysses. Musee Oceanographique Monaco	Abysses	Abysses
Academia. Estonian Academy of Sciences	Acad. Est. Acad. Sci.	Acad Est Acad Sci
Academic Medicine	Acad. Med.	Acad Med
Academic Radiology	Acad. Radiol.	Acad Radiol
Acarologia	Acarologia	Acarologia
Accident Analysis & Prevention	Accid. Anal. Prev.	Accid Anal Prev
ACIAR proceedings	ACIAR Proc.	ACIAR Proc
Acrocephalus	Acrocephalus	Acrocephalus
Acta Academiae Agriculturae ac Technicae Olstenensis. Protectio Aquarum et Piscatoria	Acta Acad. Agric. Tech. Olst. Prot. Aquarum Piscatoria	Acta Acad Agric Tech Olst Prot Aquarum Piscatoria
Acta Adriatica	Acta Adriat.	Acta Adriat
Acta Amazonica	Acta Amazon.	Acta Amazon
Acta Anatomica	Acta Anat.	Acta Anat
Acta Astronautica	Acta Astronaut.	Acta Astronaut
Acta Biochimica Polonica	Acta Biochim. Pol.	Acta Biochim Pol
Acta Biologica Hungarica	Acta Biol. Hung.	Acta Biol Hung
Acta Biologica Iugoslavica, Series B. Mikrobiologijca	Acta Biol. Iugosl. (B Mikrobiol.)	Acta Biol Iugosl (B Mikrobiol)
Acta Biologica Universitatis Daugavpiliensis	Acta Biol. Univ. Daugavpiliensis	Acta Biol Univ Daugavpiliensis
Acta biologica venezuelica	Acta Biol. Venez.	Acta Biol Venez
Acta Biomaterialia	Acta Biomater.	Acta Biomater
Acta Biotechnologica	Acta Biotechnol.	Acta Biotechnol
Acta Botanica Boreali-Occidentalia Sinica	Acta Bot. Boreali-Occidential Sinica	Acta Bot Boreali-Occidential Sinica
Acta Botanica Croatica	Acta Bot. Croat.	Acta Bot Croat
Acta Botanica Fennica	Acta Bot. Fenn.	Acta Bot Fenn
Acta Botanica Gallica	Acta Bot. Gallica	Acta Bot Gallica
Acta Botanica Neerlandica	Acta Bot. Neerl.	Acta Bot Neerl
Acta Cientifica Venezolana	Acta Cient. Venez.	Acta Cient Venez
Acta ecologica sinica/Shengtai Xuebao	Acta Ecol. Sin./Shengtai Xuebao	Acta Ecol Sin/Shengtai Xuebao
Acta Entomologica Chilena	Acta Entomol. Chilena	Acta Entomol Chilena
Acta Entomologica Iberica Macaronesica	Acta Entomol. Iberica Macarones.	Acta Entomol Iberica Macarones
Acta Entomologica Serbica	Acta Entomol. Serbica	Acta Entomol Serbica
Acta Entomologica Silesiana	Acta Entomol. Siles.	Acta Entomol Siles
Acta Entomologica Sinica	Acta Entomol. Sin.	Acta Entomol Sin
Acta Entomologica Slovenica	Acta Entomol. Sloven.	Acta Entomol Sloven
Acta geographica sinica/Dili Xuebao	Acta Geogr. Sin./Dili Xuebao	Acta Geogr Sin/Dili Xuebao
Acta geologica leopoldensia	Acta Geol. Leopold.	Acta Geol Leopold
Acta Histochemica et Cytochemica	Acta Histochem. Cytochem.	Acta Histochem Cytochem
Acta Hydrobiologica (Cracow)	Acta Hydrobiol. (Cracow)	Acta Hydrobiol (Cracow)
Acta hydrobiologica lituanica	Acta Hydrobiol. Litu.	Acta Hydrobiol Litu
Acta hydrobiologica sinica/Shuisheng Shengwu Xuebao	Acta Hydrobiol. Sin./Shuisheng Shengwu Xuebao	Acta Hydrobiol Sin/Shuisheng Shengwu Xuebao
Acta Hydrochimica et Hydrobiologica	Acta Hydrochim. Hydrobiol.	Acta Hydrochim Hydrobiol
Acta Ichthyologica et Piscatoria	Acta Ichthyol. Pisc.	Acta Ichthyol Pisc
Acta Limnologica Brasiliensia	Acta Limnol. Brasil.	Acta Limnol Brasil
Acta Microbiologica Polonica	Acta Microbiol. Pol.	Acta Microbiol Pol
Acta Microbiologica Sinica	Acta Microbiol. Sin.	Acta Microbiol Sin
Acta Mycologica	Acta Mycol.	Acta Mycol
Acta Neurobiologiae Experimentalis	Acta Neurobiol. Exp.	Acta Neurobiol Exp
Acta oceanografica del Pacifico	Acta Oceanogr. Pac.	Acta Oceanogr Pac
Acta Oceanographica Taiwanica	Acta Oceanogr. Taiwan.	Acta Oceanogr Taiwan
Acta oceanologica sinica. Chinese edition/Haiyang Xuebao	Acta Oceanol. Sin. (Chin. Ed.)/Haiyang Xuebao	Acta Oceanol Sin (Chin Ed)/Haiyang Xuebao
Acta Oceanologica Sinica/Haiyang Xuebao	Acta Oceanol. Sin./Haiyang Xuebao	Acta Oceanol Sin/Haiyang Xuebao
Acta Oecologica	Acta Oecol.	Acta Oecol
Acta Ophthalmologica Scandinavica	Acta Ophthalmol. Scand.	Acta Ophthalmol Scand
Acta Ornithologica (Warszawa)	Acta Ornithol. (Warszawa)	Acta Ornithol (Warszawa)
Acta Palaeontologica Polonica	Acta Palaeontol. Pol.	Acta Palaeontol Pol
Acta Parasitologica Portuguesa	Acta Parasitol. Port.	Acta Parasitol Port
Acta Pharmaceutica Hungarica	Acta Pharm. Hung.	Acta Pharm Hung
Acta Physiologica Scandinavica	Acta Physiol. Scand.	Acta Physiol Scand
Acta Phytopathologica et Entomologica Hungarica	Acta Phytopathol. Entomol. Hung.	Acta Phytopathol Entomol Hung
Acta Polytechnica Scandinavica	Acta Polytech. Scand.	Acta Polytech Scand
Acta Protozoologica	Acta Protozool.	Acta Protozool
Acta scientiae circumstantiae/Huanjing Kexue Xuebao	Acta Sci. Circumstant./Huanjing Kexue Xuebao	Acta Sci Circumstant/Huanjing Kexue Xuebao
Acta scientiarum naturalium Universitatis Sunyatseni/Zhongshan Daxue Xuebao	Acta Sci. Nat. Univ. Sunyatseni/Zhongshan Daxue Xuebao	Acta Sci Nat Univ Sunyatseni/Zhongshan Daxue Xuebao
Acta scientiarum	Acta Sci.	Acta Sci
Acta sedimentologica sinica/Chenji Xuebao	Acta Sedimentol. Sin./Chenji Xuebao	Acta Sedimentol Sin/Chenji Xuebao
Acta Societatis Zoologicae Bohemicae	Acta Soc. Zool. Bohem.	Acta Soc Zool Bohem
Acta Tropica	Acta Trop.	Acta Trop
Acta Universitatis Carolinae Biologica	Acta Univ. Carol. Biol.	Acta Univ Carol Biol
Acta Veterinaria (Brno)	Acta Vet. (Brno)	Acta Vet (Brno)
Acta Virologica	Acta Virol.	Acta Virol
Acta Zoologica (Stockholm)	Acta Zool. (Stockh.)	Acta Zool (Stockh)
Acta Zoologica Academiae Scientiarum Hungaricae	Acta Zool. Acad. Sci. Hung.	Acta Zool Acad Sci Hung
Acta Zoologica Cracoviensia	Acta Zool. Cracov.	Acta Zool Cracov
Acta Zoologica Fennica	Acta Zool. Fenn.	Acta Zool Fenn
Acta Zoologica Lilloana	Acta Zool. Lilloana	Acta Zool Lilloana
Acta Zoologica Mexicana	Acta Zool. Mex.	Acta Zool Mex
Acta zoologica sinica/Dongwu Xuebao	Acta Zool. Sin./Dongwu Xuebao	Acta Zool Sin/Dongwu Xuebao
Acta zoologica taiwanica	Acta Zool. Taiwan.	Acta Zool Taiwan
Actes de colloques. Institut Francais de Recherche pour l'Exploitation de la Mer	Actes Colloq. IFREMER	Actes Colloq IFREMER
